S.No.,College,Department,Pass out year,Certification,Certification from,Score
1,ACET,EEE,2024,Arduino Fundamentals,Arduino Education Team,87
2,AEC,AG.E,2024,Arduino Fundamentals,Arduino Education Team,96
3,AEC,Ag.E,2024,Arduino Fundamentals,Arduino Education Team,91
4,ACOE,EEE,2024,Arduino Fundamentals,Arduino Education Team,94
5,ACET,MECH,2024,Arduino Fundamentals,Arduino Education Team,87
6,ACET,MECH,2024,Arduino Fundamentals,Arduino Education Team,91
7,ACET,MECH,2024,Arduino Fundamentals,Arduino Education Team,96
8,ACOE,ECE,2024,Arduino Fundamentals,Arduino Education Team,89
9,ACET,MECH,2024,Arduino Fundamentals,Arduino Education Team,96
10,ACOE,EEE,2024,Arduino Fundamentals,Arduino Education Team,92
11,ACOE,EEE,2024,Arduino Fundamentals,Arduino Education Team,91
12,ACOE,EEE,2024,Arduino Fundamentals,Arduino Education Team,89
13,AEC,IT,2024,Arduino Fundamentals,Arduino Education Team,96
14,AEC,ECE,2024,Arduino Fundamentals,Arduino Education Team,81
15,AEC,ECE,2024,Arduino Fundamentals,Arduino Education Team,78
16,AEC,ECE,2024,Arduino Fundamentals,Arduino Education Team,87
17,AEC,ECE,2024,Arduino Fundamentals,Arduino Education Team,96
18,ACET,CSE,2024,Arduino Fundamentals,Arduino Education Team,84
19,AEC,ECE,2024,Arduino Fundamentals,Arduino Education Team,98
20,AEC,ECE,2024,Arduino Fundamentals,Arduino Education Team,92
21,ACOE,EEE,2024,Arduino Fundamentals,Arduino Education Team,85
22,ACOE,EEE,2024,Arduino Fundamentals,Arduino Education Team,87
23,AEC,EEE,2024,Arduino Fundamentals,Arduino Education Team,81
24,AEC,IT,2024,Arduino Fundamentals,Arduino Education Team,87
25,AEC,IT,2024,Arduino Fundamentals,Arduino Education Team,87
26,AEC,IT,2024,Arduino Fundamentals,Arduino Education Team,87
27,AEC,ECE,2024,AWS Certified Cloud Practitioner,Amazon,832
28,ACET,ECE,2023,AWS Certified Cloud Practitioner,Amazon,798
29,AEC,ECE,2023,AWS Certified Cloud Practitioner,Amazon,834
30,AEC,CSE,2024,AWS Certified Cloud Practitioner,Amazon,890
31,AEC,ECE,2024,AWS Certified Cloud Practitioner,Amazon,704
32,ACET,MECH,2024,AWS Certified Cloud Practitioner,Amazon,754
33,ACET,IT,2024,AWS Certified Cloud Practitioner,Amazon,739
34,ACET,IT,2024,AWS Certified Cloud Practitioner,Amazon,764
35,ACET,IT,2024,AWS Certified Cloud Practitioner,Amazon,718
36,AEC,EEE,2024,AWS Certified Cloud Practitioner,Amazon,746
37,AEC,EEE,2024,AWS Certified Cloud Practitioner,Amazon,754
38,AEC,CSE,2024,AWS Certified Cloud Practitioner,Amazon,780
39,ACOE,IoT,2024,AWS Certified Cloud Practitioner,Amazon,780
40,ACET,IT,2024,AWS Certified Cloud Practitioner,Amazon,746
41,AEC,EEE,2024,AWS Certified Cloud Practitioner,Amazon,704
42,ACOE,CSE,2024,AWS Certified Cloud Practitioner,Amazon,765
43,ACET,CSE,2024,AWS Certified Cloud Practitioner,Amazon,739
44,ACOE,ECE,2024,AWS Certified Cloud Practitioner,Amazon,890
45,ACET,ECE,2024,AWS Certified Cloud Practitioner,Amazon,790
46,AEC,ECE,2024,AWS Certified Cloud Practitioner,Amazon,789
47,AEC,ECE,2024,AWS Certified Cloud Practitioner,Amazon,822
48,ACET,ECE,2024,AWS Certified Cloud Practitioner,Amazon,850
49,ACOE,ECE,2024,AWS Certified Cloud Practitioner,Amazon,810
50,AEC,ECE,2024,AWS Certified Cloud Practitioner,Amazon,739
51,AEC,ECE,2024,AWS Certified Cloud Practitioner,Amazon,762
52,AEC,ECE,2024,AWS Certified Cloud Practitioner,Amazon,762
53,ACOE,EEE,2024,AWS Certified Cloud Practitioner,Amazon,762
54,ACOE,EEE,2024,AWS Certified Cloud Practitioner,Amazon,771
55,AEC,CSE,2025,RedHat Certified System Administrator,RedHat,229
56,AEC,CSE,2025,RedHat Certified System Administrator,RedHat,286
57,AEC,CSE,2025,RedHat Certified System Administrator,RedHat,257
58,ACET,CSE,2025,RedHat Certified System Administrator,RedHat,257
59,AEC,CSE,2025,RedHat Certified System Administrator,RedHat,257
60,AEC,AIML,2025,RedHat Certified System Administrator,RedHat,243
61,AEC,CSE,2025,RedHat Certified System Administrator,RedHat,300
62,AEC,CSE,2025,RedHat Certified System Administrator,RedHat,229
63,ACET,CSE,2025,RedHat Certified System Administrator,RedHat,257
64,AEC,CSE,2025,RedHat Certified System Administrator,RedHat,214
65,ACOE,CSE,2025,RedHat Certified System Administrator,RedHat,229
66,AEC,CSE,2025,RedHat Certified System Administrator,RedHat,257
67,ACOE,CSE,2025,RedHat Certified System Administrator,RedHat,271
68,ACOE,CSE,2025,RedHat Certified System Administrator,RedHat,257
69,AEC,CSE,2025,RedHat Certified System Administrator,RedHat,243
70,AEC,CSE,2025,RedHat Certified System Administrator,RedHat,224
71,ACET,IT,2025,RedHat Certified System Administrator,RedHat,271
72,AEC,AIML,2025,RedHat Certified System Administrator,RedHat,214
73,AEC,CSE,2025,RedHat Certified System Administrator,RedHat,214
74,AEC,CSE,2025,RedHat Certified System Administrator,RedHat,286
75,AEC,AIML,2025,RedHat Certified System Administrator,RedHat,243
76,AEC,AIML,2025,RedHat Certified System Administrator,RedHat,229
77,AEC,AIML,2025,RedHat Certified System Administrator,RedHat,229
78,AEC,AIML,2025,RedHat Certified System Administrator,RedHat,257
79,AEC,AIML,2025,RedHat Certified System Administrator,RedHat,300
80,AEC,AIML,2025,RedHat Certified System Administrator,RedHat,243
81,AEC,AIML,2025,RedHat Certified System Administrator,RedHat,243
82,ACET,IT,2025,RedHat Certified System Administrator,RedHat,229
83,AEC,AIML,2025,RedHat Certified System Administrator,RedHat,229
84,AEC,AIML,2025,RedHat Certified System Administrator,RedHat,271
85,AEC,CSE,2025,RedHat Certified System Administrator,RedHat,243
86,AEC,AIML,2025,RedHat Certified System Administrator,RedHat,286
87,AEC,CSE,2025,RedHat Certified System Administrator,RedHat,257
88,AEC,CSE,2025,RedHat Certified System Administrator,RedHat,214
89,AEC,CSE,2025,RedHat Certified System Administrator,RedHat,257
90,AEC,CSE,2025,RedHat Certified System Administrator,RedHat,243
91,ACOE,CSE,2025,RedHat Certified System Administrator,RedHat,243
92,AEC,CSE,2025,RedHat Certified System Administrator,RedHat,229
93,AEC,CSE,2025,RedHat Certified System Administrator,RedHat,286
94,ACOE,CSE,2025,RedHat Certified System Administrator,RedHat,243
95,ACET,IT,2025,RedHat Certified System Administrator,RedHat,214
96,AEC,CSE,2025,RedHat Certified System Administrator,RedHat,229
97,ACOE,IoT,2025,RedHat Certified System Administrator,RedHat,271
98,AEC,CSE,2025,RedHat Certified System Administrator,RedHat,229
99,ACOE,ECE,2024,Microsoft Azure Ai Fundamentals,Microsoft,936
100,ACOE,ECE,2024,Microsoft Azure Ai Fundamentals,Microsoft,857
101,AEC,CSE,2024,Microsoft Azure Ai Fundamentals,Microsoft,800
102,AEC,CSE,2024,Microsoft Azure Ai Fundamentals,Microsoft,816
103,ACOE,AIML,2024,Microsoft Azure Ai Fundamentals,Microsoft,820
104,AEC,CSE,2024,Microsoft Azure Ai Fundamentals,Microsoft,800
105,AEC,CSE,2024,Microsoft Azure Ai Fundamentals,Microsoft,850
106,AEC,CSE,2024,Microsoft Azure Ai Fundamentals,Microsoft,916
107,ACOE,ECE,2024,Microsoft Azure Ai Fundamentals,Microsoft,866
108,ACOE,ECE,2024,Microsoft Azure Ai Fundamentals,Microsoft,850
109,ACOE,ECE,2024,Microsoft Azure Ai Fundamentals,Microsoft,866
110,ACOE,AIML,2024,Microsoft Azure Ai Fundamentals,Microsoft,766
111,ACET,CSE,2024,Microsoft Azure Ai Fundamentals,Microsoft,816
112,AEC,MECH,2024,Microsoft Azure Ai Fundamentals,Microsoft,843
113,ACET,ECE,2024,Microsoft Azure Ai Fundamentals,Microsoft,849
114,ACOE,AI&ML,2025,Microsoft Azure AI Fundamentals,Microsoft,916
115,ACOE,AI&ML,2025,Microsoft Azure AI Fundamentals,Microsoft,833
116,ACOE,AI&ML,2025,Microsoft Azure AI Fundamentals,Microsoft,933
117,ACOE,AI&ML,2025,Microsoft Azure AI Fundamentals,Microsoft,900
118,ACOE,AI&ML,2025,Microsoft Azure AI Fundamentals,Microsoft,889
119,ACOE,AI&ML,2025,Microsoft Azure AI Fundamentals,Microsoft,905
120,ACOE,AI&ML,2025,Microsoft Azure AI Fundamentals,Microsoft,810
121,ACOE,AI&ML,2025,Microsoft Azure AI Fundamentals,Microsoft,936
122,ACOE,AI&ML,2025,Microsoft Azure AI Fundamentals,Microsoft,905
123,ACOE,AI&ML,2025,Microsoft Azure AI Fundamentals,Microsoft,857
124,ACOE,AI&ML,2025,Microsoft Azure AI Fundamentals,Microsoft,857
125,ACOE,AI&ML,2025,Microsoft Azure AI Fundamentals,Microsoft,873
126,ACOE,AI&ML,2025,Microsoft Azure AI Fundamentals,Microsoft,810
127,ACOE,AI&ML,2025,Microsoft Azure AI Fundamentals,Microsoft,905
128,ACOE,AI&ML,2025,Microsoft Azure AI Fundamentals,Microsoft,905
129,ACOE,AI&ML,2025,Microsoft Azure AI Fundamentals,Microsoft,794
130,ACOE,AI&ML,2025,Microsoft Azure AI Fundamentals,Microsoft,857
131,ACOE,AI&ML,2025,Microsoft Azure AI Fundamentals,Microsoft,921
132,ACOE,AI&ML,2025,Microsoft Azure AI Fundamentals,Microsoft,921
133,ACOE,AI&ML,2025,Microsoft Azure AI Fundamentals,Microsoft,826
134,ACOE,AI&ML,2025,Microsoft Azure AI Fundamentals,Microsoft,905
135,ACOE,AI&ML,2025,Microsoft Azure AI Fundamentals,Microsoft,857
136,ACOE,AI&ML,2025,Microsoft Azure AI Fundamentals,Microsoft,826
137,ACOE,AI&ML,2025,Microsoft Azure AI Fundamentals,Microsoft,810
138,ACOE,AI&ML,2025,Microsoft Azure AI Fundamentals,Microsoft,921
139,ACOE,AI&ML,2025,Microsoft Azure AI Fundamentals,Microsoft,936
140,ACOE,AI&ML,2025,Microsoft Azure AI Fundamentals,Microsoft,889
141,ACOE,AI&ML,2025,Microsoft Azure AI Fundamentals,Microsoft,842
142,ACOE,AI&ML,2025,Microsoft Azure AI Fundamentals,Microsoft,873
143,ACOE,AI&ML,2025,Microsoft Azure AI Fundamentals,Microsoft,857
144,ACOE,AI&ML,2025,Microsoft Azure AI Fundamentals,Microsoft,826
145,ACOE,AI&ML,2025,Microsoft Azure AI Fundamentals,Microsoft,905
146,ACOE,AI&ML,2025,Microsoft Azure AI Fundamentals,Microsoft,889
147,ACOE,AI&ML,2025,Microsoft Azure AI Fundamentals,Microsoft,778
148,ACOE,AI&ML,2025,Microsoft Azure AI Fundamentals,Microsoft,715
149,ACOE,AI&ML,2025,Microsoft Azure AI Fundamentals,Microsoft,873
150,ACOE,AI&ML,2025,Microsoft Azure AI Fundamentals,Microsoft,873
151,ACET,ECE,2024,Microsoft Azure Ai Fundamentals,Microsoft,810
152,ACET,MECH,2024,Microsoft Azure Ai Fundamentals,Microsoft,873
153,ACOE,ECE,2024,Microsoft Azure Ai Fundamentals,Microsoft,794
154,ACOE,ECE,2024,Microsoft Azure Ai Fundamentals,Microsoft,826
155,ACOE,ECE,2024,Microsoft Azure Ai Fundamentals,Microsoft,826
156,ACOE,ECE,2024,Microsoft Azure Ai Fundamentals,Microsoft,873
157,ACOE,EEE,2024,Microsoft Azure Ai Fundamentals,Microsoft,889
158,ACOE,EEE,2024,Microsoft Azure Ai Fundamentals,Microsoft,857
159,ACET,IT,2024,Microsoft Azure Ai Fundamentals,Microsoft,857
160,ACET,CSE,2024,Microsoft Azure Ai Fundamentals,Microsoft,921
161,ACET,CSE,2024,Microsoft Azure Ai Fundamentals,Microsoft,826
162,ACET,ECE,2024,Microsoft Azure Ai Fundamentals,Microsoft,794
163,ACOE,IoT,2024,Microsoft Azure Ai Fundamentals,Microsoft,889
164,ACOE,IoT,2024,Microsoft Azure Ai Fundamentals,Microsoft,857
165,ACOE,IoT,2024,Microsoft Azure Ai Fundamentals,Microsoft,842
166,ACOE,AI&ML,2024,Microsoft Azure Ai Fundamentals,Microsoft,921
167,ACOE,AI&ML,2024,Microsoft Azure Ai Fundamentals,Microsoft,921
168,ACOE,CSE,2024,Microsoft Azure Ai Fundamentals,Microsoft,921
169,ACOE,ECE,2024,Microsoft Azure Ai Fundamentals,Microsoft,810
170,ACOE,ECE,2024,Microsoft Azure Ai Fundamentals,Microsoft,810
171,ACOE,ECE,2024,Microsoft Azure Ai Fundamentals,Microsoft,889
172,ACOE,ECE,2024,Microsoft Azure Ai Fundamentals,Microsoft,921
173,ACOE,ECE,2024,Microsoft Azure Ai Fundamentals,Microsoft,889
174,ACOE,ECE,2024,Microsoft Azure Ai Fundamentals,Microsoft,952
175,ACOE,EEE,2024,Microsoft Azure Ai Fundamentals,Microsoft,747
176,AEC,CSE,2024,Microsoft Azure Ai Fundamentals,Microsoft,936
177,AEC,CSE,2024,Microsoft Azure Ai Fundamentals,Microsoft,889
