count,Roll Number,Status
1,19P31A0402,success
2,19P31A0433,success
3,19P31A04E0,success
4,19P31A05B2,success
1,203B1A0526,failed
2,20MD1A0535,failed
3,20MD1A0559,failed
5,20P31A0101,success
6,20P31A0102,success
7,20P31A0103,success
8,20P31A0104,success
9,20P31A0105,success
10,20P31A0106,success
11,20P31A0107,success
12,20P31A0108,success
13,20P31A0109,success
14,20P31A0111,success
15,20P31A0112,success
16,20P31A0113,success
17,20P31A0114,success
18,20P31A0115,success
19,20P31A0116,success
20,20P31A0117,success
21,20P31A0118,success
22,20P31A0119,success
23,20P31A0120,success
24,20P31A0121,success
25,20P31A0122,success
26,20P31A0123,success
27,20P31A0124,success
28,20P31A0125,success
29,20P31A0126,success
30,20P31A0127,success
31,20P31A0128,success
32,20P31A0130,success
33,20P31A0131,success
34,20P31A0132,success
35,20P31A0133,success
36,20P31A0134,success
37,20P31A0135,success
38,20P31A0136,success
39,20P31A0138,success
40,20P31A0139,success
41,20P31A0140,success
42,20P31A0141,success
43,20P31A0142,success
44,20P31A0143,success
45,20P31A0144,success
46,20P31A0145,success
47,20P31A0146,success
48,20P31A0148,success
49,20P31A0149,success
50,20P31A0151,success
51,20P31A0152,success
52,20P31A0154,success
53,20P31A0155,success
54,20P31A0157,success
55,20P31A0158,success
56,20P31A0160,success
57,20P31A0161,success
58,20P31A0162,success
59,20P31A0163,success
60,20P31A0164,success
61,20P31A0165,success
62,20P31A0166,success
63,20P31A0167,success
64,20P31A0168,success
65,20P31A0170,success
66,20P31A0171,success
67,20P31A0172,success
68,20P31A0173,success
69,20P31A0201,success
70,20P31A0202,success
71,20P31A0203,success
72,20P31A0204,success
73,20P31A0205,success
74,20P31A0206,success
75,20P31A0207,success
76,20P31A0208,success
77,20P31A0209,success
78,20P31A0210,success
79,20P31A0211,success
80,20P31A0212,success
81,20P31A0213,success
82,20P31A0214,success
83,20P31A0215,success
84,20P31A0216,success
85,20P31A0217,success
86,20P31A0218,success
87,20P31A0219,success
88,20P31A0220,success
89,20P31A0221,success
90,20P31A0222,success
91,20P31A0223,success
92,20P31A0224,success
93,20P31A0225,success
94,20P31A0226,success
95,20P31A0227,success
96,20P31A0228,success
97,20P31A0229,success
98,20P31A0230,success
99,20P31A0231,success
100,20P31A0232,success
101,20P31A0233,success
102,20P31A0234,success
103,20P31A0236,success
104,20P31A0237,success
105,20P31A0238,success
106,20P31A0239,success
107,20P31A0240,success
108,20P31A0241,success
109,20P31A0242,success
110,20P31A0243,success
111,20P31A0244,success
112,20P31A0246,success
113,20P31A0247,success
114,20P31A0248,success
115,20P31A0249,success
116,20P31A0250,success
117,20P31A0251,success
118,20P31A0252,success
119,20P31A0253,success
120,20P31A0254,success
121,20P31A0255,success
122,20P31A0256,success
123,20P31A0257,success
124,20P31A0258,success
125,20P31A0260,success
126,20P31A0261,success
127,20P31A0262,success
128,20P31A0263,success
129,20P31A0264,success
130,20P31A0266,success
131,20P31A0267,success
132,20P31A0269,success
133,20P31A0270,success
134,20P31A0271,success
135,20P31A0272,success
136,20P31A0274,success
137,20P31A0276,success
138,20P31A0277,success
139,20P31A0278,success
140,20P31A0279,success
141,20P31A0280,success
142,20P31A0281,success
143,20P31A0282,success
144,20P31A0283,success
145,20P31A0284,success
146,20P31A0301,success
147,20P31A0302,success
148,20P31A0303,success
149,20P31A0304,success
150,20P31A0305,success
151,20P31A0306,success
152,20P31A0307,success
153,20P31A0308,success
154,20P31A0309,success
155,20P31A0310,success
156,20P31A0311,success
157,20P31A0312,success
158,20P31A0313,success
159,20P31A0314,success
160,20P31A0315,success
161,20P31A0316,success
162,20P31A0317,success
163,20P31A0318,success
164,20P31A0320,success
165,20P31A0321,success
166,20P31A0323,success
167,20P31A0324,success
168,20P31A0325,success
169,20P31A0326,success
170,20P31A0329,success
171,20P31A0330,success
172,20P31A0331,success
173,20P31A0332,success
174,20P31A0333,success
175,20P31A0334,success
176,20P31A0335,success
177,20P31A0336,success
178,20P31A0337,success
179,20P31A0338,success
180,20P31A0339,success
181,20P31A0341,success
182,20P31A0342,success
183,20P31A0344,success
184,20P31A0345,success
185,20P31A0346,success
186,20P31A0347,success
187,20P31A0348,success
188,20P31A0349,success
189,20P31A0350,success
190,20P31A0351,success
191,20P31A0352,success
192,20P31A0353,success
193,20P31A0354,success
194,20P31A0355,success
195,20P31A0356,success
196,20P31A0357,success
197,20P31A0358,success
198,20P31A0359,success
199,20P31A0360,success
200,20P31A0361,success
201,20P31A0362,success
202,20P31A0363,success
203,20P31A0364,success
204,20P31A0365,success
205,20P31A0366,success
206,20P31A0367,success
207,20P31A0368,success
208,20P31A0369,success
209,20P31A0370,success
210,20P31A0371,success
211,20P31A0372,success
212,20P31A0373,success
213,20P31A0374,success
214,20P31A0375,success
215,20P31A0376,success
216,20P31A0377,success
217,20P31A0380,success
218,20P31A0381,success
219,20P31A0382,success
220,20P31A0383,success
221,20P31A0384,success
222,20P31A0385,success
223,20P31A0386,success
224,20P31A0387,success
225,20P31A0388,success
226,20P31A0389,success
227,20P31A0390,success
228,20P31A0391,success
229,20P31A0392,success
230,20P31A0393,success
231,20P31A0394,success
232,20P31A0395,success
233,20P31A0396,success
234,20P31A0397,success
235,20P31A0398,success
236,20P31A0399,success
237,20P31A03A0,success
238,20P31A03A1,success
239,20P31A03A2,success
240,20P31A03A3,success
241,20P31A03A4,success
242,20P31A03A5,success
243,20P31A03A6,success
244,20P31A03A7,success
