Roll Number,Status
23P31A0101,success
23P31A0102,success
23P31A0103,success
23P31A0104,success
23P31A0105,success
23P31A0106,success
23P31A0107,success
23P31A0108,success
23P31A0109,success
23P31A0110,success
23P31A0111,success
23P31A0112,success
23P31A0113,success
23P31A0114,success
23P31A0115,success
23P31A0116,success
23P31A0117, failed
23P31A0118,success
23P31A0119,success
23P31A0120,success
23P31A0121,success
23P31A0123,success
23P31A0124,success
23P31A0125,success
23P31A0126,success
23P31A0127,success
23P31A0128,success
23P31A0129,success
23P31A0130, failed
23P31A0131,success
23P31A0132,success
23P31A0133,success
23P31A0134,success
23P31A0135,success
23P31A0136,success
23P31A0201,success
23P31A0202,success
23P31A0203,success
23P31A0204,success
23P31A0205,success
23P31A0206,success
23P31A0207,success
23P31A0208,success
23P31A0209,success
23P31A0210,success
23P31A0211,success
23P31A0212,success
23P31A0213,success
23P31A0214,success
23P31A0215,success
23P31A0216,success
23P31A0217,success
23P31A0218,success
23P31A0219, failed
23P31A0220,success
23P31A0221,success
23P31A0222,success
23P31A0223,success
23P31A0224,success
23P31A0225,success
23P31A0226,success
23P31A0227,success
23P31A0228,success
23P31A0229,success
23P31A0230,success
23P31A0231,success
23P31A0232,success
23P31A0233,success
23P31A0234,success
23P31A0235,success
23P31A0236,success
23P31A0301,success
23P31A0302,success
23P31A0303,success
23P31A0304,success
23P31A0305,success
23P31A0306,success
23P31A0307,success
23P31A0308,success
23P31A0309,success
23P31A0310,success
23P31A0311,success
23P31A0312,success
23P31A0313,success
23P31A0314,success
23P31A0315,success
23P31A0316,success
23P31A0317,success
23P31A0318,success
23P31A0319,success
23P31A0320,success
23P31A0321,success
23P31A0322,success
23P31A0323,success
23P31A0324,success
23P31A0325,success
23P31A0326,success
23P31A0327,success
23P31A0328,success
23P31A0329,success
23P31A0330,success
23P31A0331,success
23P31A0332,success
23P31A0333,success
23P31A0334,success
23P31A0335,success
23P31A0336,success
23P31A0337,success
23P31A0338,success
23P31A0339,success
23P31A0340,success
23P31A0341,success
23P31A0342,success
23P31A0343,success
23P31A0344,success
23P31A0345,success
23P31A0346,success
23P31A0347,success
23P31A0348,success
23P31A0349,success
23P31A0350,success
23P31A0351,success
23P31A0352,success
23P31A0353,success
23P31A0354,success
23P31A0355,success
23P31A0356,success
23P31A0357,success
23P31A0358,success
23P31A0359,success
23P31A0360,success
23P31A0361,success
23P31A0401,success
23P31A0402,success
23P31A0403,success
23P31A0404,success
23P31A0405,success
23P31A0406,success
23P31A0407,success
23P31A0408,success
23P31A0409,success
23P31A0410,success
23P31A0411,success
23P31A0412,success
23P31A0413,success
23P31A0414,success
23P31A0415,success
23P31A0416,success
23P31A0417,success
23P31A0418,success
23P31A0419,success
23P31A0420,success
23P31A0421,success
23P31A0422,success
23P31A0423,success
23P31A0424,success
23P31A0425,success
23P31A0426,success
23P31A0427,success
23P31A0428,success
23P31A0429,success
23P31A0430,success
23P31A0431,success
23P31A0432,success
23P31A0433,success
23P31A0434,success
23P31A0435,success
23P31A0436,success
23P31A0437,success
23P31A0438,success
23P31A0439,success
23P31A0440,success
23P31A0441,success
23P31A0442,success
23P31A0443,success
23P31A0444,success
23P31A0445,success
23P31A0446,success
23P31A0447,success
23P31A0448,success
23P31A0449,success
23P31A0450,success
23P31A0451,success
23P31A0452,success
23P31A0453,success
23P31A0454,success
23P31A0456,success
23P31A0457,success
23P31A0458,success
23P31A0459,success
23P31A0460,success
23P31A0461,success
23P31A0462,success
23P31A0463,success
23P31A0464,success
23P31A0465,success
23P31A0466,success
23P31A0467,success
23P31A0468,success
23P31A0469,success
23P31A0470,success
23P31A0471,success
23P31A0472,success
23P31A0473,success
23P31A0474,success
23P31A0475,success
23P31A0476,success
23P31A0477,success
23P31A0478,success
23P31A0479,success
23P31A0480,success
23P31A0481,success
23P31A0482,success
23P31A0483,success
23P31A0484,success
23P31A0485,success
23P31A0486,success
23P31A0487,success
23P31A0488,success
23P31A0489,success
23P31A0490,success
23P31A0491,success
23P31A0492,success
23P31A0493,success
23P31A0494,success
23P31A0495,success
23P31A0496,success
23P31A0497,success
23P31A0498,success
23P31A0499,success
23P31A04A0,success
23P31A04A1,success
23P31A04A2,success
23P31A04A3,success
23P31A04A4,success
23P31A04A5,success
23P31A04A6,success
23P31A04A7,success
23P31A04A8,success
